sku_id,region,period,forecasted_demand_units,forecast_version,forecast_confidence
SKU_001,North America,W01,312,v1.0,0.89
SKU_001,North America,W02,289,v1.0,0.84
SKU_001,North America,W03,328,v1.0,0.85
SKU_001,North America,W04,328,v1.0,0.84
SKU_001,North America,W05,292,v1.0,0.85
SKU_001,North America,W06,448,v1.0,0.91
SKU_001,North America,W07,254,v1.0,0.92
SKU_001,North America,W08,228,v1.0,0.93
SKU_001,North America,W09,222,v1.0,0.93
SKU_001,North America,W10,247,v1.0,0.93
SKU_001,North America,W11,258,v1.0,0.89
SKU_001,North America,W12,255,v1.0,0.92
SKU_001,North America,M04,334,v1.0,0.86
SKU_001,North America,M05,319,v1.0,0.94
SKU_001,North America,M06,290,v1.0,0.94
SKU_001,Europe,W01,270,v1.0,0.86
SKU_001,Europe,W02,266,v1.0,0.82
SKU_001,Europe,W03,258,v1.0,0.9
SKU_001,Europe,W04,278,v1.0,0.93
SKU_001,Europe,W05,268,v1.0,0.94
SKU_001,Europe,W06,370,v1.0,0.9
SKU_001,Europe,W07,230,v1.0,0.89
SKU_001,Europe,W08,211,v1.0,0.92
SKU_001,Europe,W09,214,v1.0,0.86
SKU_001,Europe,W10,190,v1.0,0.91
SKU_001,Europe,W11,198,v1.0,0.84
SKU_001,Europe,W12,224,v1.0,0.87
SKU_001,Europe,M04,265,v1.0,0.89
SKU_001,Europe,M05,246,v1.0,0.9
SKU_001,Europe,M06,238,v1.0,0.86
SKU_001,Asia-Pacific,W01,162,v1.0,0.84
SKU_001,Asia-Pacific,W02,155,v1.0,0.86
SKU_001,Asia-Pacific,W03,156,v1.0,0.94
SKU_001,Asia-Pacific,W04,169,v1.0,0.91
SKU_001,Asia-Pacific,W05,159,v1.0,0.89
SKU_001,Asia-Pacific,W06,219,v1.0,0.92
SKU_001,Asia-Pacific,W07,134,v1.0,0.85
SKU_001,Asia-Pacific,W08,123,v1.0,0.83
SKU_001,Asia-Pacific,W09,125,v1.0,0.87
SKU_001,Asia-Pacific,W10,126,v1.0,0.83
SKU_001,Asia-Pacific,W11,125,v1.0,0.85
SKU_001,Asia-Pacific,W12,136,v1.0,0.87
SKU_001,Asia-Pacific,M04,160,v1.0,0.92
SKU_001,Asia-Pacific,M05,164,v1.0,0.95
SKU_001,Asia-Pacific,M06,163,v1.0,0.95
SKU_001,Latin America,W01,72,v1.0,0.91
SKU_001,Latin America,W02,81,v1.0,0.94
SKU_001,Latin America,W03,85,v1.0,0.9
SKU_001,Latin America,W04,89,v1.0,0.91
SKU_001,Latin America,W05,77,v1.0,0.94
SKU_001,Latin America,W06,120,v1.0,0.87
SKU_001,Latin America,W07,69,v1.0,0.86
SKU_001,Latin America,W08,69,v1.0,0.93
SKU_001,Latin America,W09,61,v1.0,0.92
SKU_001,Latin America,W10,62,v1.0,0.83
SKU_001,Latin America,W11,69,v1.0,0.85
SKU_001,Latin America,W12,70,v1.0,0.94
SKU_001,Latin America,M04,79,v1.0,0.94
SKU_001,Latin America,M05,82,v1.0,0.82
SKU_001,Latin America,M06,72,v1.0,0.91
SKU_002,North America,W01,424,v1.0,0.91
SKU_002,North America,W02,492,v1.0,0.85
SKU_002,North America,W03,502,v1.0,0.93
SKU_002,North America,W04,489,v1.0,0.88
SKU_002,North America,W05,475,v1.0,0.83
SKU_002,North America,W06,654,v1.0,0.82
SKU_002,North America,W07,406,v1.0,0.82
SKU_002,North America,W08,342,v1.0,0.84
SKU_002,North America,W09,340,v1.0,0.83
SKU_002,North America,W10,373,v1.0,0.94
SKU_002,North America,W11,365,v1.0,0.88
SKU_002,North America,W12,391,v1.0,0.86
SKU_002,North America,M04,468,v1.0,0.84
SKU_002,North America,M05,427,v1.0,0.91
SKU_002,North America,M06,409,v1.0,0.92
SKU_002,Europe,W01,347,v1.0,0.93
SKU_002,Europe,W02,384,v1.0,0.89
SKU_002,Europe,W03,388,v1.0,0.91
SKU_002,Europe,W04,403,v1.0,0.86
SKU_002,Europe,W05,406,v1.0,0.87
SKU_002,Europe,W06,562,v1.0,0.82
SKU_002,Europe,W07,312,v1.0,0.85
SKU_002,Europe,W08,322,v1.0,0.92
SKU_002,Europe,W09,314,v1.0,0.86
SKU_002,Europe,W10,305,v1.0,0.86
SKU_002,Europe,W11,331,v1.0,0.95
SKU_002,Europe,W12,354,v1.0,0.9
SKU_002,Europe,M04,430,v1.0,0.82
SKU_002,Europe,M05,414,v1.0,0.84
SKU_002,Europe,M06,343,v1.0,0.89
SKU_002,Asia-Pacific,W01,230,v1.0,0.89
SKU_002,Asia-Pacific,W02,229,v1.0,0.85
SKU_002,Asia-Pacific,W03,260,v1.0,0.91
SKU_002,Asia-Pacific,W04,236,v1.0,0.94
SKU_002,Asia-Pacific,W05,251,v1.0,0.84
SKU_002,Asia-Pacific,W06,316,v1.0,0.9
SKU_002,Asia-Pacific,W07,198,v1.0,0.83
SKU_002,Asia-Pacific,W08,198,v1.0,0.89
SKU_002,Asia-Pacific,W09,173,v1.0,0.92
SKU_002,Asia-Pacific,W10,201,v1.0,0.89
SKU_002,Asia-Pacific,W11,199,v1.0,0.83
SKU_002,Asia-Pacific,W12,214,v1.0,0.85
SKU_002,Asia-Pacific,M04,238,v1.0,0.9
SKU_002,Asia-Pacific,M05,262,v1.0,0.87
SKU_002,Asia-Pacific,M06,238,v1.0,0.85
SKU_002,Latin America,W01,113,v1.0,0.83
SKU_002,Latin America,W02,116,v1.0,0.88
SKU_002,Latin America,W03,122,v1.0,0.91
SKU_002,Latin America,W04,127,v1.0,0.84
SKU_002,Latin America,W05,120,v1.0,0.93
SKU_002,Latin America,W06,178,v1.0,0.84
SKU_002,Latin America,W07,100,v1.0,0.92
SKU_002,Latin America,W08,100,v1.0,0.9
SKU_002,Latin America,W09,89,v1.0,0.87
SKU_002,Latin America,W10,96,v1.0,0.86
SKU_002,Latin America,W11,97,v1.0,0.88
SKU_002,Latin America,W12,109,v1.0,0.88
SKU_002,Latin America,M04,117,v1.0,0.9
SKU_002,Latin America,M05,114,v1.0,0.86
SKU_002,Latin America,M06,122,v1.0,0.94
SKU_003,North America,W01,196,v1.0,0.94
SKU_003,North America,W02,199,v1.0,0.83
SKU_003,North America,W03,202,v1.0,0.89
SKU_003,North America,W04,200,v1.0,0.9
SKU_003,North America,W05,204,v1.0,0.9
SKU_003,North America,W06,310,v1.0,0.89
SKU_003,North America,W07,181,v1.0,0.95
SKU_003,North America,W08,168,v1.0,0.92
SKU_003,North America,W09,158,v1.0,0.85
SKU_003,North America,W10,170,v1.0,0.92
SKU_003,North America,W11,164,v1.0,0.88
SKU_003,North America,W12,182,v1.0,0.87
SKU_003,North America,M04,218,v1.0,0.91
SKU_003,North America,M05,225,v1.0,0.92
SKU_003,North America,M06,205,v1.0,0.84
SKU_003,Europe,W01,172,v1.0,0.88
SKU_003,Europe,W02,171,v1.0,0.94
SKU_003,Europe,W03,189,v1.0,0.95
SKU_003,Europe,W04,189,v1.0,0.88
SKU_003,Europe,W05,170,v1.0,0.85
SKU_003,Europe,W06,244,v1.0,0.83
SKU_003,Europe,W07,148,v1.0,0.83
