sku_id,location_id,available_stock_units,reserved_stock_units,safety_stock_threshold,inbound_stock_units,inventory_age_days
SKU_001,DC_NA,1291,150,515,0,14
SKU_001,DC_EU,1140,260,587,200,27
SKU_001,DC_APAC,1319,138,545,800,28
SKU_001,DC_LATAM,722,152,349,800,45
SKU_002,DC_NA,521,127,570,800,38
SKU_002,DC_EU,658,91,597,500,26
SKU_002,DC_APAC,1100,207,391,500,17
SKU_002,DC_LATAM,384,71,425,0,32
SKU_003,DC_NA,1231,227,427,500,12
SKU_003,DC_EU,317,55,600,200,34
SKU_003,DC_APAC,607,108,398,200,24
SKU_003,DC_LATAM,1297,185,400,0,34
SKU_004,DC_NA,383,50,553,0,8
SKU_004,DC_EU,1300,189,470,500,5
SKU_004,DC_APAC,402,55,429,500,37
SKU_004,DC_LATAM,1448,178,294,500,14
SKU_005,DC_NA,702,115,291,500,19
SKU_005,DC_EU,365,62,431,200,45
SKU_005,DC_APAC,1091,178,300,500,24
SKU_005,DC_LATAM,936,117,473,500,42
SKU_006,DC_NA,585,118,352,500,13
SKU_006,DC_EU,1152,210,404,500,10
SKU_006,DC_APAC,908,167,571,800,39
SKU_006,DC_LATAM,675,105,473,0,13
SKU_007,DC_NA,1378,229,410,500,34
SKU_007,DC_EU,1025,168,465,800,34
SKU_007,DC_APAC,356,84,263,800,10
SKU_007,DC_LATAM,587,112,404,200,42
SKU_008,DC_NA,1348,210,567,500,8
SKU_008,DC_EU,1104,131,593,0,34
SKU_008,DC_APAC,1360,229,277,0,8
SKU_008,DC_LATAM,853,191,582,0,26
SKU_009,DC_NA,499,111,539,800,26
SKU_009,DC_EU,424,50,549,0,18
SKU_009,DC_APAC,1357,165,503,200,19
SKU_009,DC_LATAM,616,89,409,0,36
SKU_010,DC_NA,711,83,250,200,43
SKU_010,DC_EU,547,97,376,200,11
SKU_010,DC_APAC,1270,131,508,800,30
SKU_010,DC_LATAM,413,98,403,800,35
SKU_011,DC_NA,676,150,529,500,44
SKU_011,DC_EU,1199,274,565,0,32
SKU_011,DC_APAC,599,117,344,200,20
SKU_011,DC_LATAM,649,114,529,200,35
SKU_012,DC_NA,1283,184,591,0,42
SKU_012,DC_EU,1309,203,390,800,29
SKU_012,DC_APAC,519,88,467,200,6
SKU_012,DC_LATAM,880,148,538,800,5
SKU_013,DC_NA,1488,216,580,800,7
SKU_013,DC_EU,1026,250,489,800,22
SKU_013,DC_APAC,318,78,433,200,27
SKU_013,DC_LATAM,1375,218,282,200,14
SKU_014,DC_NA,1020,202,538,500,34
SKU_014,DC_EU,586,83,587,500,30
SKU_014,DC_APAC,439,104,580,800,29
SKU_014,DC_LATAM,1266,241,342,500,13
SKU_015,DC_NA,963,181,547,500,42
SKU_015,DC_EU,1126,124,265,200,19
SKU_015,DC_APAC,497,99,505,800,25
SKU_015,DC_LATAM,774,191,371,0,16
SKU_016,DC_NA,1086,231,465,0,8
SKU_016,DC_EU,812,95,287,800,28
SKU_016,DC_APAC,360,85,414,0,33
SKU_016,DC_LATAM,1073,128,576,200,17
SKU_017,DC_NA,817,141,597,500,19
SKU_017,DC_EU,712,150,472,200,10
SKU_017,DC_APAC,1492,154,592,0,18
SKU_017,DC_LATAM,368,81,252,500,31
SKU_018,DC_NA,1463,266,286,500,16
SKU_018,DC_EU,1381,240,356,800,37
SKU_018,DC_APAC,1021,156,536,200,9
SKU_018,DC_LATAM,1198,196,442,0,41
SKU_019,DC_NA,460,54,514,500,11
SKU_019,DC_EU,541,94,276,500,6
SKU_019,DC_APAC,758,169,398,500,29
SKU_019,DC_LATAM,1032,113,330,500,9
SKU_020,DC_NA,1394,259,515,500,30
SKU_020,DC_EU,416,75,306,800,21
SKU_020,DC_APAC,361,37,465,500,17
SKU_020,DC_LATAM,985,229,280,200,18
SKU_021,DC_NA,120,315,500,150,4
SKU_021,DC_EU,120,145,500,150,4
SKU_021,DC_APAC,120,107,500,150,4
SKU_021,DC_LATAM,120,309,500,150,4
SKU_022,DC_NA,372,64,365,500,32
SKU_022,DC_EU,1278,185,366,0,8
SKU_022,DC_APAC,353,76,350,800,6
SKU_022,DC_LATAM,1431,246,448,800,13
SKU_023,DC_NA,1180,242,531,200,12
SKU_023,DC_EU,1196,140,565,500,27
SKU_023,DC_APAC,696,105,279,200,19
SKU_023,DC_LATAM,488,91,366,800,39
SKU_024,DC_NA,1463,156,257,200,8
SKU_024,DC_EU,456,49,474,200,23
SKU_024,DC_APAC,389,57,558,200,23
SKU_024,DC_LATAM,565,107,495,0,9
SKU_025,DC_NA,456,62,528,200,36
SKU_025,DC_EU,1031,241,362,800,24
SKU_025,DC_APAC,1051,228,399,200,38
SKU_025,DC_LATAM,847,125,527,0,8
SKU_026,DC_NA,1009,237,568,800,22
SKU_026,DC_EU,460,60,320,200,24
SKU_026,DC_APAC,1432,188,440,200,7
SKU_026,DC_LATAM,781,159,582,800,12
SKU_027,DC_NA,343,59,267,500,22
SKU_027,DC_EU,1086,157,293,0,22
SKU_027,DC_APAC,1086,189,445,800,33
SKU_027,DC_LATAM,390,52,444,200,32
SKU_028,DC_NA,1390,149,406,0,39
SKU_028,DC_EU,1012,243,561,500,21
SKU_028,DC_APAC,743,158,424,800,32
SKU_028,DC_LATAM,416,91,533,800,23
SKU_029,DC_NA,1395,236,543,500,15
SKU_029,DC_EU,1080,183,371,200,5
SKU_029,DC_APAC,874,192,390,0,20
SKU_029,DC_LATAM,1411,203,542,800,7
SKU_030,DC_NA,861,132,587,500,43
SKU_030,DC_EU,325,38,541,500,21
SKU_030,DC_APAC,666,110,258,800,5
SKU_030,DC_LATAM,1255,132,433,800,45
SKU_031,DC_NA,1439,190,279,0,22
SKU_031,DC_EU,1429,210,282,800,16
SKU_031,DC_APAC,828,177,391,500,36
SKU_031,DC_LATAM,560,75,339,200,44
SKU_032,DC_NA,401,54,585,0,16
SKU_032,DC_EU,1337,306,546,500,7
SKU_032,DC_APAC,1433,297,281,500,21
SKU_032,DC_LATAM,333,67,430,0,43
SKU_033,DC_NA,780,118,289,800,12
SKU_033,DC_EU,1346,150,354,500,41
SKU_033,DC_APAC,1060,237,598,800,9
SKU_033,DC_LATAM,1173,271,323,0,25
SKU_034,DC_NA,1037,155,458,500,35
SKU_034,DC_EU,902,174,332,500,7
SKU_034,DC_APAC,895,214,552,0,11
SKU_034,DC_LATAM,733,162,511,500,18
SKU_035,DC_NA,1075,241,266,200,29
SKU_035,DC_EU,460,111,364,800,39
SKU_035,DC_APAC,548,124,520,0,43
SKU_035,DC_LATAM,1267,251,516,800,25
SKU_036,DC_NA,851,109,544,500,20
SKU_036,DC_EU,973,132,435,200,34
SKU_036,DC_APAC,944,200,309,200,33
SKU_036,DC_LATAM,1139,175,430,0,28
SKU_037,DC_NA,2400,246,200,0,75
SKU_037,DC_EU,2400,328,200,0,75
SKU_037,DC_APAC,2400,299,200,0,75
SKU_037,DC_LATAM,2400,146,200,0,75
SKU_038,DC_NA,1334,330,544,800,45
SKU_038,DC_EU,705,165,482,0,15
SKU_038,DC_APAC,547,89,533,800,11
SKU_038,DC_LATAM,558,128,470,0,15
SKU_039,DC_NA,449,53,521,800,32
SKU_039,DC_EU,1025,122,535,200,23
SKU_039,DC_APAC,543,81,422,0,7
SKU_039,DC_LATAM,451,95,431,800,31
SKU_040,DC_NA,1221,257,473,500,35
SKU_040,DC_EU,575,120,551,0,14
SKU_040,DC_APAC,315,59,439,800,29
SKU_040,DC_LATAM,956,158,510,500,11
SKU_041,DC_NA,775,112,424,0,41
SKU_041,DC_EU,1360,319,546,800,23
SKU_041,DC_APAC,961,151,341,200,7
SKU_041,DC_LATAM,731,120,392,500,11
SKU_042,DC_NA,1011,144,310,500,22
SKU_042,DC_EU,1296,214,336,500,21
SKU_042,DC_APAC,517,123,591,500,14
SKU_042,DC_LATAM,496,64,510,200,6
SKU_043,DC_NA,381,92,526,200,5
SKU_043,DC_EU,1300,292,263,500,18
SKU_043,DC_APAC,877,211,542,800,33
SKU_043,DC_LATAM,1366,162,482,500,12
SKU_044,DC_NA,545,90,471,800,21
SKU_044,DC_EU,477,109,392,0,27
SKU_044,DC_APAC,461,97,363,0,25
SKU_044,DC_LATAM,620,109,391,800,45
SKU_045,DC_NA,1350,271,287,500,7
SKU_045,DC_EU,1187,136,516,500,17
SKU_045,DC_APAC,1443,287,570,0,45
SKU_045,DC_LATAM,316,43,550,800,19
SKU_046,DC_NA,700,97,327,800,16
SKU_046,DC_EU,1317,187,351,0,38
SKU_046,DC_APAC,738,74,284,800,40
SKU_046,DC_LATAM,727,150,269,800,21
SKU_047,DC_NA,1078,209,370,500,35
SKU_047,DC_EU,1386,275,342,500,19
SKU_047,DC_APAC,898,179,500,800,43
SKU_047,DC_LATAM,1031,187,401,0,19
SKU_048,DC_NA,530,129,397,800,33
SKU_048,DC_EU,966,132,467,0,16
SKU_048,DC_APAC,1251,304,588,0,27
SKU_048,DC_LATAM,1115,229,497,800,43
SKU_049,DC_NA,1143,232,264,500,22
SKU_049,DC_EU,1339,177,459,0,40
SKU_049,DC_APAC,961,133,412,800,30
SKU_049,DC_LATAM,1205,197,383,0,22
SKU_050,DC_NA,1294,270,423,0,24
SKU_050,DC_EU,1216,196,543,200,39
SKU_050,DC_APAC,722,156,306,500,13
SKU_050,DC_LATAM,1405,144,260,800,10
