dc_id,store_id,transportation_cost_per_unit,transport_lead_time_days,service_level
DC_NA,STR_NA_01,2.12,5,0.986
DC_NA,STR_NA_02,2.5,3,0.968
DC_NA,STR_NA_03,1.72,4,0.99
DC_NA,STR_NA_04,2.85,4,0.974
DC_NA,STR_NA_05,1.44,4,0.961
DC_NA,STR_NA_06,2.78,6,0.962
DC_NA,STR_NA_07,2.17,3,0.96
DC_NA,STR_NA_08,3.76,2,0.96
DC_NA,STR_NA_09,2.2,2,0.984
DC_NA,STR_NA_10,2.68,4,0.986
DC_NA,STR_NA_11,3.68,3,0.979
DC_NA,STR_NA_12,2.5,6,0.967
DC_NA,STR_NA_13,2.1,3,0.978
DC_NA,STR_NA_14,2.69,5,0.981
DC_NA,STR_NA_15,3.49,3,0.975
DC_EU,STR_EU_01,3.32,5,0.961
DC_EU,STR_EU_02,1.3,6,0.987
DC_EU,STR_EU_03,3.26,2,0.984
DC_EU,STR_EU_04,2.01,4,0.963
DC_EU,STR_EU_05,2.98,6,0.976
DC_EU,STR_EU_06,3.54,5,0.966
DC_EU,STR_EU_07,1.6,6,0.988
DC_EU,STR_EU_08,3.64,6,0.985
DC_EU,STR_EU_09,3.24,2,0.98
DC_EU,STR_EU_10,1.37,3,0.971
DC_EU,STR_EU_11,1.82,5,0.966
DC_EU,STR_EU_12,2.25,4,0.962
DC_EU,STR_EU_13,3.75,5,0.984
DC_EU,STR_EU_14,3.57,6,0.963
DC_EU,STR_EU_15,2.55,4,0.987
DC_APAC,STR_AC_01,2.66,6,0.976
DC_APAC,STR_AC_02,3.17,3,0.968
DC_APAC,STR_AC_03,1.55,3,0.969
DC_APAC,STR_AC_04,2.83,5,0.973
DC_APAC,STR_AC_05,1.41,2,0.975
DC_APAC,STR_AC_06,2.04,5,0.978
DC_APAC,STR_AC_07,2.0,4,0.983
DC_APAC,STR_AC_08,3.02,6,0.985
DC_APAC,STR_AC_09,1.69,2,0.969
DC_APAC,STR_AC_10,2.73,6,0.976
DC_APAC,STR_AC_11,2.87,2,0.976
DC_APAC,STR_AC_12,1.32,4,0.972
DC_APAC,STR_AC_13,2.11,6,0.962
DC_APAC,STR_AC_14,3.35,5,0.982
DC_APAC,STR_AC_15,2.56,3,0.975
DC_LATAM,STR_AM_01,2.97,2,0.987
DC_LATAM,STR_AM_02,1.46,3,0.987
DC_LATAM,STR_AM_03,3.05,2,0.981
DC_LATAM,STR_AM_04,2.49,6,0.979
DC_LATAM,STR_AM_05,1.24,5,0.966
DC_LATAM,STR_AM_06,2.99,4,0.96
DC_LATAM,STR_AM_07,1.83,4,0.99
DC_LATAM,STR_AM_08,3.77,3,0.971
DC_LATAM,STR_AM_09,3.38,2,0.965
DC_LATAM,STR_AM_10,2.76,6,0.98
DC_LATAM,STR_AM_11,3.49,5,0.98
DC_LATAM,STR_AM_12,3.05,4,0.966
DC_LATAM,STR_AM_13,3.48,4,0.972
DC_LATAM,STR_AM_14,1.23,5,0.971
DC_LATAM,STR_AM_15,3.39,3,0.985
