sku_id,fabric_id,fabric_per_unit_meters,waste_pct
SKU_001,FAB_014,2.4,0.05
SKU_001,FAB_010,1.2,0.03
SKU_002,FAB_014,2.4,0.05
SKU_002,FAB_011,1.2,0.03
SKU_003,FAB_014,2.4,0.05
SKU_003,FAB_011,1.2,0.03
SKU_004,FAB_003,2.4,0.05
SKU_004,FAB_010,1.2,0.03
SKU_005,FAB_002,2.4,0.05
SKU_005,FAB_010,1.2,0.03
SKU_006,FAB_003,2.4,0.05
SKU_006,FAB_010,1.2,0.03
SKU_007,FAB_003,2.4,0.05
SKU_007,FAB_011,1.2,0.03
SKU_008,FAB_003,2.4,0.05
SKU_008,FAB_011,1.2,0.03
SKU_009,FAB_003,2.4,0.05
SKU_009,FAB_010,1.2,0.03
SKU_010,FAB_008,1.6,0.04
SKU_011,FAB_008,1.6,0.04
SKU_012,FAB_006,1.6,0.04
SKU_013,FAB_008,1.6,0.04
SKU_014,FAB_006,1.6,0.04
SKU_015,FAB_006,1.6,0.04
SKU_016,FAB_007,1.6,0.04
SKU_017,FAB_008,1.6,0.04
SKU_018,FAB_008,1.6,0.04
SKU_019,FAB_008,1.6,0.04
SKU_020,FAB_016,1.9,0.05
SKU_021,FAB_017,1.9,0.05
SKU_022,FAB_016,1.9,0.05
SKU_023,FAB_016,1.9,0.05
SKU_024,FAB_017,1.9,0.05
SKU_025,FAB_017,1.9,0.05
SKU_026,FAB_015,1.9,0.05
SKU_027,FAB_016,1.9,0.05
SKU_028,FAB_019,2.2,0.04
SKU_029,FAB_019,2.2,0.04
SKU_030,FAB_019,2.2,0.04
SKU_031,FAB_019,2.2,0.04
SKU_032,FAB_018,2.2,0.04
SKU_033,FAB_018,2.2,0.04
SKU_034,FAB_019,2.2,0.04
SKU_035,FAB_020,2.2,0.04
SKU_036,FAB_023,1.4,0.03
SKU_037,FAB_023,1.4,0.03
SKU_038,FAB_023,1.4,0.03
SKU_039,FAB_022,1.4,0.03
SKU_040,FAB_023,1.4,0.03
SKU_041,FAB_023,1.4,0.03
SKU_042,FAB_022,1.4,0.03
SKU_043,FAB_023,1.4,0.03
SKU_044,FAB_014,3.2,0.06
SKU_044,FAB_012,1.5,0.04
SKU_045,FAB_004,3.2,0.06
SKU_045,FAB_012,1.5,0.04
SKU_046,FAB_005,3.2,0.06
SKU_046,FAB_013,1.5,0.04
SKU_047,FAB_004,3.2,0.06
SKU_047,FAB_012,1.5,0.04
SKU_048,FAB_005,3.2,0.06
SKU_048,FAB_012,1.5,0.04
SKU_049,FAB_005,3.2,0.06
SKU_049,FAB_013,1.5,0.04
SKU_050,FAB_005,3.2,0.06
SKU_050,FAB_013,1.5,0.04
