sku_id,sku_name,category,season,region_group,unit_retail_price,unit_target_margin,launch_week,lifecycle_status
SKU_001,TrendWear Jacket 001,Jackets,FW26,Global,140.15,0.484,3,Active
SKU_002,TrendWear Jacket 002,Jackets,FW26,Global,108.59,0.5,1,Active
SKU_003,TrendWear Jacket 003,Jackets,FW26,Global,143.14,0.605,1,Active
SKU_004,TrendWear Jacket 004,Jackets,FW26,Global,136.24,0.484,1,Active
SKU_005,TrendWear Jacket 005,Jackets,FW26,Global,106.49,0.551,1,Active
SKU_006,TrendWear Jacket 006,Jackets,FW26,Global,133.9,0.58,4,Active
SKU_007,TrendWear Jacket 007,Jackets,FW26,Global,106.64,0.562,1,Active
SKU_008,TrendWear Jacket 008,Jackets,FW26,Global,149.7,0.502,4,Active
SKU_009,TrendWear Jacket 009,Jackets,FW26,Global,116.22,0.502,3,New
SKU_010,TrendWear Shirt 010,Shirts,SS26,Global,43.09,0.533,3,Active
SKU_011,TrendWear Shirt 011,Shirts,SS26,Global,72.9,0.565,1,Active
SKU_012,TrendWear Shirt 012,Shirts,SS26,Global,68.19,0.555,4,Active
SKU_013,TrendWear Shirt 013,Shirts,SS26,Global,42.15,0.521,3,Active
SKU_014,TrendWear Shirt 014,Shirts,SS26,Global,62.09,0.579,1,Active
SKU_015,TrendWear Shirt 015,Shirts,SS26,Global,65.45,0.588,1,Active
SKU_016,TrendWear Shirt 016,Shirts,SS26,Global,73.21,0.601,4,Active
SKU_017,TrendWear Shirt 017,Shirts,SS26,Global,50.12,0.569,3,Active
SKU_018,TrendWear Shirt 018,Shirts,SS26,Global,45.51,0.53,3,Active
SKU_019,TrendWear Shirt 019,Shirts,SS26,Global,67.07,0.576,1,Phase-Out
SKU_020,TrendWear Trouser 020,Trousers,SS26,Global,79.46,0.504,2,Active
SKU_021,TrendWear Trouser 021,Trousers,SS26,Global,57.17,0.533,2,Active
SKU_022,TrendWear Trouser 022,Trousers,SS26,Global,83.23,0.598,1,Active
SKU_023,TrendWear Trouser 023,Trousers,SS26,Global,60.45,0.484,3,Active
SKU_024,TrendWear Trouser 024,Trousers,SS26,Global,69.06,0.489,3,Active
SKU_025,TrendWear Trouser 025,Trousers,SS26,Global,59.63,0.55,4,Active
SKU_026,TrendWear Trouser 026,Trousers,SS26,Global,56.14,0.5,3,Active
SKU_027,TrendWear Trouser 027,Trousers,SS26,Global,86.35,0.54,4,Active
SKU_028,TrendWear Dresse 028,Dresses,SS26,Global,94.34,0.62,2,Active
SKU_029,TrendWear Dresse 029,Dresses,SS26,Global,104.67,0.493,1,Active
SKU_030,TrendWear Dresse 030,Dresses,SS26,Global,129.28,0.501,2,Active
SKU_031,TrendWear Dresse 031,Dresses,SS26,Global,124.45,0.539,1,Active
SKU_032,TrendWear Dresse 032,Dresses,SS26,Global,95.93,0.563,4,Active
SKU_033,TrendWear Dresse 033,Dresses,SS26,Global,106.04,0.616,1,Active
SKU_034,TrendWear Dresse 034,Dresses,SS26,Global,116.62,0.496,3,Active
SKU_035,TrendWear Dresse 035,Dresses,SS26,Global,122.8,0.528,3,Active
SKU_036,TrendWear Activewear 036,Activewear,SS26,Global,56.74,0.544,3,Active
SKU_037,TrendWear Activewear 037,Activewear,SS26,Global,83.59,0.587,1,Phase-Out
SKU_038,TrendWear Activewear 038,Activewear,SS26,Global,78.53,0.522,2,Active
SKU_039,TrendWear Activewear 039,Activewear,SS26,Global,42.64,0.587,1,Active
SKU_040,TrendWear Activewear 040,Activewear,SS26,Global,64.95,0.548,1,Active
SKU_041,TrendWear Activewear 041,Activewear,SS26,Global,81.45,0.603,3,Active
SKU_042,TrendWear Activewear 042,Activewear,SS26,Global,46.97,0.514,1,Active
SKU_043,TrendWear Activewear 043,Activewear,SS26,Global,39.28,0.548,1,Active
SKU_044,TrendWear Outerwear 044,Outerwear,FW26,Global,226.58,0.555,2,Active
SKU_045,TrendWear Outerwear 045,Outerwear,FW26,Global,133.12,0.547,2,Active
SKU_046,TrendWear Outerwear 046,Outerwear,FW26,Global,148.16,0.602,4,Active
SKU_047,TrendWear Outerwear 047,Outerwear,FW26,Global,225.08,0.61,2,Active
SKU_048,TrendWear Outerwear 048,Outerwear,FW26,Global,197.42,0.536,3,Active
SKU_049,TrendWear Outerwear 049,Outerwear,FW26,Global,167.19,0.552,1,Active
SKU_050,TrendWear Outerwear 050,Outerwear,FW26,Global,146.27,0.489,1,New
