supplier_id,fabric_id,period,max_supply_meters,committed_supply_meters,available_supply_meters
S001,FAB_001,W01,13647,8185,5462
S002,FAB_001,W01,16853,7048,9805
S004,FAB_001,W01,14939,6583,8356
S005,FAB_001,W01,23600,12041,11559
S006,FAB_001,W01,16494,5998,10496
S001,FAB_002,W01,12893,6652,6241
S002,FAB_002,W01,23426,14833,8593
S004,FAB_002,W01,22450,13706,8744
S003,FAB_002,W01,20042,7631,12411
S007,FAB_002,W01,12200,6371,5829
S001,FAB_003,W01,19690,9719,9971
S002,FAB_003,W01,17582,7126,10456
S004,FAB_003,W01,12841,5466,7375
S008,FAB_003,W01,19827,7618,12209
S003,FAB_003,W01,13070,6145,6925
S001,FAB_004,W01,13213,6911,6302
S002,FAB_004,W01,23246,8509,14737
S004,FAB_004,W01,14444,8570,5874
S006,FAB_004,W01,16978,6376,10602
S005,FAB_004,W01,16066,6194,9872
S001,FAB_005,W01,24524,11645,12879
S002,FAB_005,W01,21766,12781,8985
S004,FAB_005,W01,15697,9146,6551
S007,FAB_005,W01,18232,8845,9387
S003,FAB_005,W01,19253,8456,10797
S001,FAB_006,W01,21642,14002,7640
S002,FAB_006,W01,17003,8851,8152
S004,FAB_006,W01,12986,6920,6066
S007,FAB_006,W01,24125,9161,14964
S005,FAB_006,W01,24496,10100,14396
S001,FAB_007,W01,15457,6637,8820
S002,FAB_007,W01,13330,5293,8037
S004,FAB_007,W01,14847,7655,7192
S006,FAB_007,W01,14564,5109,9455
S007,FAB_007,W01,19381,10791,8590
S001,FAB_008,W01,19699,8615,11084
S002,FAB_008,W01,15792,6892,8900
S004,FAB_008,W01,16632,9328,7304
S006,FAB_008,W01,19438,7218,12220
S008,FAB_008,W01,15824,9924,5900
S001,FAB_009,W01,24907,14629,10278
S002,FAB_009,W01,21663,11879,9784
S004,FAB_009,W01,15241,7278,7963
S006,FAB_009,W01,20922,8733,12189
S008,FAB_009,W01,14441,8989,5452
S001,FAB_010,W01,14330,5322,9008
S002,FAB_010,W01,14718,8651,6067
S004,FAB_010,W01,21749,12498,9251
S007,FAB_010,W01,21325,13357,7968
S008,FAB_010,W01,19195,7434,11761
S001,FAB_011,W01,23283,10273,13010
S002,FAB_011,W01,18594,11766,6828
S004,FAB_011,W01,20199,10341,9858
S007,FAB_011,W01,19172,7172,12000
S008,FAB_011,W01,12653,7804,4849
S001,FAB_012,W01,24034,10735,13299
S002,FAB_012,W01,16102,5760,10342
S004,FAB_012,W01,15750,10057,5693
S006,FAB_012,W01,21424,11271,10153
S005,FAB_012,W01,12339,8018,4321
S001,FAB_013,W01,23014,13726,9288
S002,FAB_013,W01,21441,7763,13678
S004,FAB_013,W01,24390,9818,14572
S007,FAB_013,W01,20502,11182,9320
S008,FAB_013,W01,16557,6696,9861
S001,FAB_014,W01,21590,10379,11211
S002,FAB_014,W01,20056,12850,7206
S004,FAB_014,W01,19700,8951,10749
S003,FAB_014,W01,17460,7792,9668
S007,FAB_014,W01,13713,8328,5385
S001,FAB_015,W01,17403,8240,9163
S002,FAB_015,W01,20117,8780,11337
S004,FAB_015,W01,18561,11026,7535
S007,FAB_015,W01,21012,7585,13427
S008,FAB_015,W01,13442,5973,7469
S001,FAB_016,W01,17296,6655,10641
S002,FAB_016,W01,24657,11619,13038
S004,FAB_016,W01,20431,12207,8224
S005,FAB_016,W01,12018,6577,5441
S006,FAB_016,W01,20889,10206,10683
S001,FAB_017,W01,12888,5236,7652
S002,FAB_017,W01,17927,9623,8304
S004,FAB_017,W01,20167,10842,9325
S005,FAB_017,W01,24451,8936,15515
S003,FAB_017,W01,16375,8429,7946
S001,FAB_018,W01,16719,8049,8670
S002,FAB_018,W01,23440,11612,11828
S004,FAB_018,W01,12472,8006,4466
S007,FAB_018,W01,21975,12960,9015
S003,FAB_018,W01,23629,9392,14237
S001,FAB_019,W01,21024,7444,13580
S002,FAB_019,W01,18684,7061,11623
S004,FAB_019,W01,13858,6768,7090
S007,FAB_019,W01,13924,7579,6345
S006,FAB_019,W01,14522,7253,7269
S001,FAB_020,W01,23740,10387,13353
S002,FAB_020,W01,23557,10177,13380
S004,FAB_020,W01,19905,12820,7085
S005,FAB_020,W01,15993,7789,8204
S007,FAB_020,W01,14369,6682,7687
S001,FAB_021,W01,21820,10963,10857
S002,FAB_021,W01,14236,8672,5564
S004,FAB_021,W01,16526,9614,6912
S006,FAB_021,W01,18798,8495,10303
S003,FAB_021,W01,24905,12510,12395
S001,FAB_022,W01,12042,5236,6806
S002,FAB_022,W01,16891,10155,6736
S004,FAB_022,W01,21501,13968,7533
S005,FAB_022,W01,20022,12204,7818
S003,FAB_022,W01,19316,9881,9435
S001,FAB_023,W01,17654,7939,9715
S002,FAB_023,W01,24498,12568,11930
S004,FAB_023,W01,19460,12256,7204
S008,FAB_023,W01,15090,9721,5369
S003,FAB_023,W01,15912,8298,7614
S001,FAB_024,W01,15826,9603,6223
S002,FAB_024,W01,18730,6800,11930
S004,FAB_024,W01,24201,11904,12297
S003,FAB_024,W01,18246,8499,9747
S005,FAB_024,W01,22873,13442,9431
S001,FAB_025,W01,22682,14612,8070
S002,FAB_025,W01,20115,12862,7253
S004,FAB_025,W01,14068,7043,7025
S008,FAB_025,W01,21669,9742,11927
S006,FAB_025,W01,13644,8353,5291
S001,FAB_026,W01,19213,7299,11914
S002,FAB_026,W01,19486,6909,12577
S004,FAB_026,W01,14361,6792,7569
S005,FAB_026,W01,22727,14567,8160
S006,FAB_026,W01,13225,6491,6734
S001,FAB_027,W01,16342,7379,8963
S002,FAB_027,W01,23349,10956,12393
S004,FAB_027,W01,13315,8062,5253
S005,FAB_027,W01,23048,14008,9040
S007,FAB_027,W01,18226,11596,6630
S001,FAB_028,W01,22269,12595,9674
S002,FAB_028,W01,24442,12132,12310
S004,FAB_028,W01,20864,7527,13337
S006,FAB_028,W01,13121,5516,7605
S008,FAB_028,W01,23213,14537,8676
S001,FAB_029,W01,15727,9027,6700
S002,FAB_029,W01,19110,12297,6813
S004,FAB_029,W01,24457,13209,11248
S003,FAB_029,W01,13646,6592,7054
S006,FAB_029,W01,23370,10279,13091
S001,FAB_030,W01,12474,4538,7936
S002,FAB_030,W01,12919,5658,7261
S004,FAB_030,W01,18141,8693,9448
S006,FAB_030,W01,16000,8149,7851
S008,FAB_030,W01,21272,11796,9476
S001,FAB_001,W02,14950,5994,8956
S002,FAB_001,W02,13293,7083,6210
S004,FAB_001,W02,18267,9789,8478
S005,FAB_001,W02,15945,7961,7984
S006,FAB_001,W02,21554,8469,13085
S001,FAB_002,W02,19555,10586,8969
S002,FAB_002,W02,19529,8331,11198
S004,FAB_002,W02,12153,7530,4623
S003,FAB_002,W02,19622,12172,7450
S007,FAB_002,W02,23101,11873,11228
S001,FAB_003,W02,13210,6374,6836
S002,FAB_003,W02,17661,11414,6247
S004,FAB_003,W02,16901,9154,7747
S008,FAB_003,W02,18951,10557,8394
S003,FAB_003,W02,19484,11760,7724
S001,FAB_004,W02,15263,9918,5345
S002,FAB_004,W02,19916,7607,12309
S004,FAB_004,W02,18248,9517,8731
S006,FAB_004,W02,21417,9396,12021
S005,FAB_004,W02,23456,10287,13169
S001,FAB_005,W02,22784,10679,12105
S002,FAB_005,W02,12132,6305,5827
S004,FAB_005,W02,23236,13558,9678
