supplier_id,fabric_id,minimum_allocation_pct,maximum_allocation_pct,minimum_order_qty_meters,contract_expiry_date,committed_volume_meters
S001,FAB_001,0.15,0.6,3000,2026-12-31,50000
S002,FAB_001,0.15,0.6,3000,2026-12-31,50000
S004,FAB_001,0.1,0.8,4000,2026-12-31,50000
S005,FAB_001,0.1,0.4,4000,2026-12-31,50000
S006,FAB_001,0.1,0.4,2500,2026-12-31,50000
S001,FAB_002,0.15,0.6,2500,2026-12-31,50000
S002,FAB_002,0.15,0.6,3000,2026-12-31,50000
S004,FAB_002,0.1,0.8,4000,2026-12-31,50000
S003,FAB_002,0.1,0.4,5000,2026-12-31,50000
S007,FAB_002,0.1,0.4,5000,2026-12-31,50000
S001,FAB_003,0.15,0.6,3000,2026-12-31,50000
S002,FAB_003,0.15,0.6,4000,2026-12-31,50000
S004,FAB_003,0.1,0.8,3000,2026-12-31,50000
S008,FAB_003,0.1,0.4,2500,2026-12-31,50000
S003,FAB_003,0.1,0.4,2500,2026-12-31,50000
S001,FAB_004,0.15,0.6,2500,2026-12-31,50000
S002,FAB_004,0.15,0.6,5000,2026-12-31,50000
S004,FAB_004,0.1,0.8,3000,2026-12-31,50000
S006,FAB_004,0.1,0.4,3000,2026-12-31,50000
S005,FAB_004,0.1,0.4,3000,2026-12-31,50000
S001,FAB_005,0.15,0.6,4000,2026-12-31,50000
S002,FAB_005,0.15,0.6,5000,2026-12-31,50000
S004,FAB_005,0.1,0.8,3000,2026-12-31,50000
S007,FAB_005,0.1,0.4,2500,2026-12-31,50000
S003,FAB_005,0.1,0.4,2500,2026-12-31,50000
S001,FAB_006,0.15,0.6,5000,2026-12-31,50000
S002,FAB_006,0.15,0.6,3000,2026-12-31,50000
S004,FAB_006,0.1,0.8,3000,2026-12-31,50000
S007,FAB_006,0.1,0.4,4000,2026-12-31,50000
S005,FAB_006,0.1,0.4,4000,2026-12-31,50000
S001,FAB_007,0.15,0.6,4000,2026-12-31,50000
S002,FAB_007,0.15,0.6,2500,2026-12-31,50000
S004,FAB_007,0.1,0.8,4000,2026-12-31,50000
S006,FAB_007,0.1,0.4,4000,2026-12-31,50000
S007,FAB_007,0.1,0.4,5000,2026-12-31,50000
