supplier_id,fabric_id,price_per_meter,currency,price_valid_from,price_valid_to
S001,FAB_001,16.22,USD,2026-01-01,2026-12-31
S002,FAB_001,16.72,USD,2026-01-01,2026-12-31
S004,FAB_001,15.28,USD,2026-01-01,2026-12-31
S005,FAB_001,17.79,USD,2026-01-01,2026-12-31
S006,FAB_001,16.94,USD,2026-01-01,2026-12-31
S001,FAB_002,10.01,USD,2026-01-01,2026-12-31
S002,FAB_002,9.45,USD,2026-01-01,2026-12-31
S004,FAB_002,9.1,USD,2026-01-01,2026-12-31
S003,FAB_002,9.56,USD,2026-01-01,2026-12-31
S007,FAB_002,9.82,USD,2026-01-01,2026-12-31
S001,FAB_003,14.68,USD,2026-01-01,2026-12-31
S002,FAB_003,15.13,USD,2026-01-01,2026-12-31
S004,FAB_003,14.06,USD,2026-01-01,2026-12-31
S008,FAB_003,15.01,USD,2026-01-01,2026-12-31
S003,FAB_003,14.88,USD,2026-01-01,2026-12-31
S001,FAB_004,15.75,USD,2026-01-01,2026-12-31
S002,FAB_004,15.4,USD,2026-01-01,2026-12-31
S004,FAB_004,14.26,USD,2026-01-01,2026-12-31
S006,FAB_004,16.02,USD,2026-01-01,2026-12-31
S005,FAB_004,17.19,USD,2026-01-01,2026-12-31
S001,FAB_005,9.83,USD,2026-01-01,2026-12-31
S002,FAB_005,10.25,USD,2026-01-01,2026-12-31
S004,FAB_005,9.28,USD,2026-01-01,2026-12-31
S007,FAB_005,9.89,USD,2026-01-01,2026-12-31
S003,FAB_005,9.97,USD,2026-01-01,2026-12-31
S001,FAB_006,7.13,USD,2026-01-01,2026-12-31
S002,FAB_006,7.21,USD,2026-01-01,2026-12-31
S004,FAB_006,6.9,USD,2026-01-01,2026-12-31
S007,FAB_006,7.23,USD,2026-01-01,2026-12-31
S005,FAB_006,8.05,USD,2026-01-01,2026-12-31
S001,FAB_007,13.34,USD,2026-01-01,2026-12-31
S002,FAB_007,13.58,USD,2026-01-01,2026-12-31
S004,FAB_007,12.13,USD,2026-01-01,2026-12-31
S006,FAB_007,12.88,USD,2026-01-01,2026-12-31
S007,FAB_007,12.75,USD,2026-01-01,2026-12-31
S001,FAB_008,6.62,USD,2026-01-01,2026-12-31
S002,FAB_008,6.6,USD,2026-01-01,2026-12-31
S004,FAB_008,6.29,USD,2026-01-01,2026-12-31
S006,FAB_008,6.42,USD,2026-01-01,2026-12-31
S008,FAB_008,6.59,USD,2026-01-01,2026-12-31
S001,FAB_009,9.19,USD,2026-01-01,2026-12-31
S002,FAB_009,9.22,USD,2026-01-01,2026-12-31
S004,FAB_009,8.5,USD,2026-01-01,2026-12-31
S006,FAB_009,8.98,USD,2026-01-01,2026-12-31
S008,FAB_009,9.12,USD,2026-01-01,2026-12-31
S001,FAB_010,9.04,USD,2026-01-01,2026-12-31
S002,FAB_010,9.01,USD,2026-01-01,2026-12-31
S004,FAB_010,8.39,USD,2026-01-01,2026-12-31
S007,FAB_010,8.81,USD,2026-01-01,2026-12-31
S008,FAB_010,8.89,USD,2026-01-01,2026-12-31
