fabric_id,fabric_name,period,gross_requirement_meters,opening_inventory_meters,confirmed_receipts_meters,safety_stock_meters,net_requirement_meters,projected_ending_inventory,inventory_coverage_pct,lead_time_weeks,criticality,standard_cost_per_meter,is_deficit
FAB_001,Premium Denim Grade-1,W01,0.0,3206.0,572.5,2290,0.0,3778.5,377850.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W02,0.0,3778.5,572.5,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W03,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W04,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W05,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W06,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W07,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W08,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W09,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W10,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W11,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,W12,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,M04,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,M05,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_001,Premium Denim Grade-1,M06,0.0,4351.0,0.0,2290,0.0,4351.0,435100.0,3,HIGH,16.39,False
FAB_002,Premium Cotton Grade-2,W01,2464.56,7729.4,1380.25,5521,0.0,6645.09,369.6,3,HIGH,9.74,False
FAB_002,Premium Cotton Grade-2,W02,2497.32,6645.09,1380.25,5521,0.0,5528.02,321.4,3,HIGH,9.74,False
FAB_002,Premium Cotton Grade-2,W03,2552.76,5528.02,0.0,5521,2545.74,2975.26,216.6,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W04,2451.96,2975.26,0.0,5521,4997.7,523.3,121.3,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W05,2280.6,523.3,0.0,5521,7278.3,0.0,22.9,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W06,3399.48,0.0,0.0,5521,8920.48,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W07,2159.64,0.0,0.0,5521,7680.64,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W08,1920.24,0.0,0.0,5521,7441.24,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W09,1970.64,0.0,0.0,5521,7491.64,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W10,1806.84,0.0,0.0,5521,7327.84,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W11,1882.44,0.0,0.0,5521,7403.44,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,W12,2086.56,0.0,0.0,5521,7607.56,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,M04,2537.64,0.0,0.0,5521,8058.64,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,M05,2497.32,0.0,0.0,5521,8018.32,0.0,0.0,3,HIGH,9.74,True
FAB_002,Premium Cotton Grade-2,M06,2409.12,0.0,0.0,5521,7930.12,0.0,0.0,3,HIGH,9.74,True
FAB_003,Premium Wool Grade-3,W01,13761.72,6636.0,1185.0,4740,10680.72,0.0,56.8,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W02,14442.12,0.0,1185.0,4740,17997.12,0.0,8.2,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W03,14815.08,0.0,0.0,4740,19555.08,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W04,14817.6,0.0,0.0,4740,19557.6,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W05,14275.8,0.0,0.0,4740,19015.8,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W06,19711.44,0.0,0.0,4740,24451.44,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W07,12302.64,0.0,0.0,4740,17042.64,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W08,11297.16,0.0,0.0,4740,16037.16,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W09,10931.76,0.0,0.0,4740,15671.76,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W10,10967.04,0.0,0.0,4740,15707.04,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W11,11357.64,0.0,0.0,4740,16097.64,0.0,0.0,4,MEDIUM,15.01,True
FAB_003,Premium Wool Grade-3,W12,12451.32,0.0,0.0,4740,17191.32,0.0,0.0,4,MEDIUM,15.01,True
