fabric_id,fabric_name,period,required_week,net_requirement_meters,supplier_id,supplier_name,recommended_order_qty,allocation_pct,unit_price,purchase_cost,moq_meters,moq_overbuy_meters,lead_time_weeks,po_release_week,expected_arrival_week,supplier_risk_score,supplier_risk_category,predicted_delay_days,delivery_risk
FAB_002,Premium Cotton Grade-2,W03,3,2545.74,S001,Apex Textile Mills,2291.17,90.0,10.01,22934.57,2500,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W03,3,2545.74,S007,Vanguard Textiles,254.57,10.0,9.82,2499.92,5000,0.0,4,W01,W05,23.8,LOW,0.9,MEDIUM
FAB_002,Premium Cotton Grade-2,W04,4,4997.7,S001,Apex Textile Mills,499.77,10.0,10.01,5002.7,2500,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W04,4,4997.7,S002,Global Weavers Ltd,4497.93,90.0,9.45,42505.44,3000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W05,5,7278.3,S001,Apex Textile Mills,727.83,10.0,10.01,7285.58,2500,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W05,5,7278.3,S002,Global Weavers Ltd,6550.47,90.0,9.45,61901.94,3000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W06,6,8920.48,S001,Apex Textile Mills,892.05,10.0,10.01,8929.4,2500,0.0,4,W02,W06,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W06,6,8920.48,S002,Global Weavers Ltd,8028.43,90.0,9.45,75868.68,3000,0.0,4,W02,W06,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W07,7,7680.64,S001,Apex Textile Mills,2050.64,26.7,10.01,20526.91,2500,0.0,4,W03,W07,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W07,7,7680.64,S002,Global Weavers Ltd,5630.0,73.3,9.45,53203.5,3000,0.0,4,W03,W07,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W08,8,7441.24,S001,Apex Textile Mills,744.12,10.0,10.01,7448.68,2500,0.0,4,W04,W08,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W08,8,7441.24,S002,Global Weavers Ltd,6697.12,90.0,9.45,63287.75,3000,0.0,4,W04,W08,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W09,9,7491.64,S001,Apex Textile Mills,749.16,10.0,10.01,7499.13,2500,0.0,4,W05,W09,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W09,9,7491.64,S002,Global Weavers Ltd,6742.48,90.0,9.45,63716.4,3000,0.0,4,W05,W09,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W10,10,7327.84,S001,Apex Textile Mills,732.78,10.0,10.01,7335.17,2500,0.0,4,W06,W10,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W10,10,7327.84,S002,Global Weavers Ltd,6595.06,90.0,9.45,62323.28,3000,0.0,4,W06,W10,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W11,11,7403.44,S001,Apex Textile Mills,740.34,10.0,10.01,7410.84,2500,0.0,4,W07,W11,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W11,11,7403.44,S002,Global Weavers Ltd,6663.1,90.0,9.45,62966.26,3000,0.0,4,W07,W11,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W12,12,7607.56,S001,Apex Textile Mills,760.76,10.0,10.01,7615.17,2500,0.0,4,W08,W12,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,W12,12,7607.56,S002,Global Weavers Ltd,6846.8,90.0,9.45,64702.3,3000,0.0,4,W08,W12,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M04,12,8058.64,S001,Apex Textile Mills,805.86,10.0,10.01,8066.7,2500,0.0,4,W08,W12,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M04,12,8058.64,S002,Global Weavers Ltd,7252.78,90.0,9.45,68538.73,3000,0.0,4,W08,W12,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M05,12,8018.32,S001,Apex Textile Mills,801.83,10.0,10.01,8026.34,2500,0.0,4,W08,W12,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M05,12,8018.32,S002,Global Weavers Ltd,7216.49,90.0,9.45,68195.81,3000,0.0,4,W08,W12,21.2,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M06,12,7930.12,S001,Apex Textile Mills,793.01,10.0,10.01,7938.05,2500,0.0,4,W08,W12,17.6,LOW,0.0,LOW
FAB_002,Premium Cotton Grade-2,M06,12,7930.12,S002,Global Weavers Ltd,7137.11,90.0,9.45,67445.67,3000,0.0,4,W08,W12,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W01,1,10680.72,S001,Apex Textile Mills,9612.65,90.0,14.68,141113.67,3000,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W01,1,10680.72,S002,Global Weavers Ltd,1068.07,10.0,15.13,16159.93,4000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W02,2,17997.12,S001,Apex Textile Mills,6836.0,38.0,14.68,100352.48,3000,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W02,2,17997.12,S002,Global Weavers Ltd,6247.0,34.7,15.13,94517.11,4000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W02,2,17997.12,S003,Oriental Fabric Corp,4914.12,27.3,14.88,73122.11,2500,0.0,5,W01,W06,30.8,MEDIUM,1.1,MEDIUM
FAB_003,Premium Wool Grade-3,W03,3,19555.08,S001,Apex Textile Mills,9569.0,48.9,14.68,140472.92,3000,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W03,3,19555.08,S002,Global Weavers Ltd,5825.0,29.8,15.13,88132.25,4000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W03,3,19555.08,S003,Oriental Fabric Corp,4161.08,21.3,14.88,61916.87,2500,0.0,5,W01,W06,30.8,MEDIUM,1.1,MEDIUM
FAB_003,Premium Wool Grade-3,W04,4,19557.6,S001,Apex Textile Mills,6575.0,33.6,14.68,96521.0,3000,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W04,4,19557.6,S002,Global Weavers Ltd,11918.0,60.9,15.13,180319.34,4000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W04,4,19557.6,S003,Oriental Fabric Corp,1064.6,5.4,14.88,15841.25,2500,0.0,5,W01,W06,30.8,MEDIUM,1.1,MEDIUM
FAB_003,Premium Wool Grade-3,W05,5,19015.8,S001,Apex Textile Mills,7727.0,40.6,14.68,113432.36,3000,0.0,4,W01,W05,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W05,5,19015.8,S002,Global Weavers Ltd,11288.8,59.4,15.13,170799.54,4000,0.0,4,W01,W05,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W06,6,24451.44,S001,Apex Textile Mills,7110.0,29.1,14.68,104374.8,3000,0.0,4,W02,W06,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W06,6,24451.44,S002,Global Weavers Ltd,8064.0,33.0,15.13,122008.32,4000,0.0,4,W02,W06,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W06,6,24451.44,S003,Oriental Fabric Corp,9277.44,37.9,14.88,138048.31,2500,0.0,5,W01,W06,30.8,MEDIUM,1.1,MEDIUM
FAB_003,Premium Wool Grade-3,W07,7,17042.64,S001,Apex Textile Mills,14583.0,85.6,14.68,214078.44,3000,0.0,4,W03,W07,17.6,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W07,7,17042.64,S002,Global Weavers Ltd,2459.64,14.4,15.13,37214.35,4000,0.0,4,W03,W07,21.2,LOW,0.0,LOW
FAB_003,Premium Wool Grade-3,W08,8,16037.16,S001,Apex Textile Mills,9361.0,58.4,14.68,137419.48,3000,0.0,4,W04,W08,17.6,LOW,0.0,LOW
