fabric_id,plant_id,max_weekly_throughput_meters,processing_lead_time_weeks
FAB_001,P001,45000,1
FAB_001,P002,15000,2
FAB_001,P003,45000,1
FAB_001,P004,45000,1
FAB_001,P005,45000,2
FAB_002,P001,15000,2
FAB_002,P002,15000,2
FAB_002,P003,30000,2
FAB_002,P004,30000,2
FAB_002,P005,20000,1
FAB_003,P001,30000,1
FAB_003,P002,30000,2
FAB_003,P003,45000,2
FAB_003,P004,20000,2
FAB_003,P005,20000,1
FAB_004,P001,45000,1
FAB_004,P002,30000,2
FAB_004,P003,20000,1
FAB_004,P004,45000,1
FAB_004,P005,15000,2
FAB_005,P001,20000,1
FAB_005,P002,15000,2
FAB_005,P003,30000,1
FAB_005,P004,15000,2
FAB_005,P005,20000,1
FAB_006,P001,30000,1
FAB_006,P002,30000,1
FAB_006,P003,20000,2
FAB_006,P004,30000,2
FAB_006,P005,30000,2
FAB_007,P001,45000,2
FAB_007,P002,20000,1
FAB_007,P003,20000,1
FAB_007,P004,20000,2
FAB_007,P005,20000,2
FAB_008,P001,15000,1
FAB_008,P002,45000,2
FAB_008,P003,30000,2
FAB_008,P004,20000,1
FAB_008,P005,15000,1
FAB_009,P001,20000,1
FAB_009,P002,20000,1
FAB_009,P003,20000,2
FAB_009,P004,15000,2
FAB_009,P005,15000,1
FAB_010,P001,20000,2
FAB_010,P002,45000,2
FAB_010,P003,30000,2
FAB_010,P004,15000,1
FAB_010,P005,45000,2
FAB_011,P001,45000,2
FAB_011,P002,30000,2
FAB_011,P003,30000,1
FAB_011,P004,20000,1
FAB_011,P005,30000,1
FAB_012,P001,45000,2
FAB_012,P002,45000,2
FAB_012,P003,15000,2
FAB_012,P004,30000,1
FAB_012,P005,15000,2
FAB_013,P001,45000,2
FAB_013,P002,45000,1
FAB_013,P003,20000,2
FAB_013,P004,30000,1
FAB_013,P005,15000,1
FAB_014,P001,45000,2
FAB_014,P002,20000,1
FAB_014,P003,30000,2
FAB_014,P004,15000,2
FAB_014,P005,30000,1
FAB_015,P001,30000,1
FAB_015,P002,30000,2
FAB_015,P003,45000,1
FAB_015,P004,30000,2
FAB_015,P005,15000,1
FAB_016,P001,45000,2
FAB_016,P002,45000,1
FAB_016,P003,45000,1
FAB_016,P004,15000,2
FAB_016,P005,15000,1
FAB_017,P001,20000,1
FAB_017,P002,15000,2
FAB_017,P003,15000,1
FAB_017,P004,45000,1
FAB_017,P005,30000,1
FAB_018,P001,30000,1
FAB_018,P002,15000,2
FAB_018,P003,30000,1
FAB_018,P004,30000,1
FAB_018,P005,45000,2
FAB_019,P001,15000,1
FAB_019,P002,20000,1
FAB_019,P003,30000,1
FAB_019,P004,20000,2
FAB_019,P005,15000,2
FAB_020,P001,20000,2
FAB_020,P002,20000,1
FAB_020,P003,30000,2
FAB_020,P004,30000,1
FAB_020,P005,30000,2
FAB_021,P001,15000,2
FAB_021,P002,15000,1
FAB_021,P003,15000,1
FAB_021,P004,15000,1
FAB_021,P005,30000,1
FAB_022,P001,20000,1
FAB_022,P002,20000,2
FAB_022,P003,45000,1
FAB_022,P004,20000,2
FAB_022,P005,20000,1
FAB_023,P001,30000,1
FAB_023,P002,45000,2
FAB_023,P003,20000,2
FAB_023,P004,20000,2
FAB_023,P005,45000,1
FAB_024,P001,20000,2
FAB_024,P002,20000,1
FAB_024,P003,30000,2
FAB_024,P004,45000,2
FAB_024,P005,15000,2
FAB_025,P001,30000,2
FAB_025,P002,30000,2
FAB_025,P003,20000,1
FAB_025,P004,45000,1
FAB_025,P005,20000,2
FAB_026,P001,30000,2
FAB_026,P002,20000,2
FAB_026,P003,30000,1
FAB_026,P004,20000,2
FAB_026,P005,20000,2
FAB_027,P001,30000,1
FAB_027,P002,15000,1
FAB_027,P003,45000,1
FAB_027,P004,45000,2
FAB_027,P005,30000,2
FAB_028,P001,15000,2
FAB_028,P002,15000,2
FAB_028,P003,15000,1
FAB_028,P004,45000,2
FAB_028,P005,30000,2
FAB_029,P001,15000,1
FAB_029,P002,30000,2
FAB_029,P003,20000,2
FAB_029,P004,20000,1
FAB_029,P005,45000,2
FAB_030,P001,45000,2
FAB_030,P002,45000,1
FAB_030,P003,30000,2
FAB_030,P004,30000,2
FAB_030,P005,45000,2
