plant_id,period,max_units_capacity,already_allocated_units,maintenance_units,available_units
P001,W01,12000,9938,500,1562
P001,W02,12000,9814,0,2186
P001,W03,12000,9182,0,2818
P001,W04,12000,10528,0,1472
P001,W05,12000,9402,1000,1598
P001,W06,12000,9026,0,2974
P001,W07,12000,10367,0,1633
P001,W08,12000,8905,500,2595
P001,W09,12000,10430,0,1570
P001,W10,12000,10226,0,1774
P001,W11,12000,9483,0,2517
P001,W12,12000,7783,1000,3217
P002,W01,9500,6788,500,2212
P002,W02,9500,7729,0,1771
P002,W03,9500,6707,0,2793
P002,W04,9500,8040,0,1460
P002,W05,9500,6952,1000,1548
P002,W06,9500,8049,0,1451
P002,W07,9500,7696,500,1304
P002,W08,9500,6776,0,2724
P002,W09,9500,5980,1000,2520
P002,W10,9500,6813,0,2687
P002,W11,9500,6247,1000,2253
P002,W12,9500,7571,500,1429
P003,W01,18000,13467,1000,3533
P003,W02,18000,13578,0,4422
P003,W03,18000,12520,1000,4480
P003,W04,18000,15303,500,2197
P003,W05,18000,13052,1000,3948
P003,W06,18000,12000,1000,0
P003,W07,18000,13616,1000,3384
P003,W08,18000,12770,1000,4230
P003,W09,18000,13839,0,4161
P003,W10,18000,14126,1000,2874
P003,W11,18000,14652,500,2848
P003,W12,18000,14065,0,3935
P004,W01,8500,6557,0,1943
P004,W02,8500,6634,0,1866
P004,W03,8500,6010,1000,1490
P004,W04,8500,6078,500,1922
P004,W05,8500,6095,0,2405
P004,W06,8500,8128,0,2233
P004,W07,8500,6051,1000,1449
P004,W08,8500,6166,0,2334
P004,W09,8500,5956,1000,1544
P004,W10,8500,6040,0,2460
P004,W11,8500,5590,1000,1910
P004,W12,8500,6666,500,1334
P005,W01,14000,9892,0,4108
P005,W02,14000,11139,1000,1861
P005,W03,14000,11127,500,2373
P005,W04,14000,10376,1000,2624
P005,W05,14000,11781,500,1719
P005,W06,14000,10611,0,3389
P005,W07,14000,10303,1000,2697
P005,W08,14000,12121,0,1879
P005,W09,14000,10736,1000,2264
P005,W10,14000,9397,1000,3603
P005,W11,14000,10208,0,3792
P005,W12,14000,10218,0,3782
