sku_id,discount_percentage,units_sold_before_markdown,units_sold_post_markdown,sell_through_lift
SKU_001,0.1,252,373,1.48
SKU_001,0.2,252,431,1.71
SKU_001,0.3,252,562,2.23
SKU_001,0.4,252,648,2.57
SKU_001,0.5,252,733,2.91
SKU_002,0.1,364,470,1.29
SKU_002,0.2,364,684,1.88
SKU_002,0.3,364,797,2.19
SKU_002,0.4,364,946,2.6
SKU_002,0.5,364,1023,2.81
SKU_003,0.1,407,594,1.46
SKU_003,0.2,407,769,1.89
SKU_003,0.3,407,830,2.04
SKU_003,0.4,407,1087,2.67
SKU_003,0.5,407,1201,2.95
SKU_004,0.1,171,219,1.28
SKU_004,0.2,171,286,1.67
SKU_004,0.3,171,371,2.17
SKU_004,0.4,171,431,2.52
SKU_004,0.5,171,481,2.81
SKU_005,0.1,337,462,1.37
SKU_005,0.2,337,596,1.77
SKU_005,0.3,337,755,2.24
SKU_005,0.4,337,832,2.47
SKU_005,0.5,337,987,2.93
SKU_006,0.1,280,417,1.49
SKU_006,0.2,280,512,1.83
SKU_006,0.3,280,602,2.15
SKU_006,0.4,280,678,2.42
SKU_006,0.5,280,851,3.04
SKU_007,0.1,163,241,1.48
SKU_007,0.2,163,284,1.74
SKU_007,0.3,163,336,2.06
SKU_007,0.4,163,422,2.59
SKU_007,0.5,163,474,2.91
SKU_008,0.1,413,533,1.29
SKU_008,0.2,413,781,1.89
SKU_008,0.3,413,867,2.1
SKU_008,0.4,413,1070,2.59
SKU_008,0.5,413,1189,2.88
SKU_009,0.1,203,288,1.42
SKU_009,0.2,203,347,1.71
SKU_009,0.3,203,463,2.28
SKU_009,0.4,203,530,2.61
SKU_009,0.5,203,615,3.03
SKU_010,0.1,419,612,1.46
SKU_010,0.2,419,729,1.74
SKU_010,0.3,419,913,2.18
SKU_010,0.4,419,1068,2.55
SKU_010,0.5,419,1274,3.04
SKU_011,0.1,362,500,1.38
SKU_011,0.2,362,626,1.73
SKU_011,0.3,362,814,2.25
SKU_011,0.4,362,909,2.51
SKU_011,0.5,362,1039,2.87
SKU_012,0.1,190,256,1.35
SKU_012,0.2,190,323,1.7
SKU_012,0.3,190,388,2.04
SKU_012,0.4,190,481,2.53
SKU_012,0.5,190,551,2.9
SKU_013,0.1,285,365,1.28
SKU_013,0.2,285,530,1.86
SKU_013,0.3,285,633,2.22
SKU_013,0.4,285,741,2.6
SKU_013,0.5,285,852,2.99
SKU_014,0.1,410,619,1.51
SKU_014,0.2,410,746,1.82
SKU_014,0.3,410,931,2.27
SKU_014,0.4,410,1078,2.63
SKU_014,0.5,410,1193,2.91
SKU_015,0.1,182,237,1.3
SKU_015,0.2,182,317,1.74
SKU_015,0.3,182,386,2.12
SKU_015,0.4,182,473,2.6
SKU_015,0.5,182,539,2.96
SKU_016,0.1,184,258,1.4
SKU_016,0.2,184,311,1.69
SKU_016,0.3,184,408,2.22
SKU_016,0.4,184,480,2.61
SKU_016,0.5,184,541,2.94
SKU_017,0.1,404,541,1.34
SKU_017,0.2,404,675,1.67
SKU_017,0.3,404,897,2.22
SKU_017,0.4,404,990,2.45
SKU_017,0.5,404,1176,2.91
SKU_018,0.1,328,423,1.29
SKU_018,0.2,328,597,1.82
SKU_018,0.3,328,695,2.12
SKU_018,0.4,328,836,2.55
SKU_018,0.5,328,994,3.03
SKU_019,0.1,380,524,1.38
SKU_019,0.2,380,703,1.85
SKU_019,0.3,380,798,2.1
SKU_019,0.4,380,927,2.44
SKU_019,0.5,380,1091,2.87
SKU_020,0.1,235,352,1.5
SKU_020,0.2,235,428,1.82
SKU_020,0.3,235,496,2.11
SKU_020,0.4,235,576,2.45
SKU_020,0.5,235,684,2.91
SKU_021,0.1,257,342,1.33
SKU_021,0.2,257,483,1.88
SKU_021,0.3,257,558,2.17
SKU_021,0.4,257,673,2.62
SKU_021,0.5,257,776,3.02
SKU_022,0.1,380,574,1.51
SKU_022,0.2,380,657,1.73
SKU_022,0.3,380,836,2.2
SKU_022,0.4,380,920,2.42
SKU_022,0.5,380,1098,2.89
SKU_023,0.1,408,522,1.28
SKU_023,0.2,408,730,1.79
SKU_023,0.3,408,873,2.14
SKU_023,0.4,408,1012,2.48
SKU_023,0.5,408,1155,2.83
SKU_024,0.1,321,430,1.34
SKU_024,0.2,321,546,1.7
SKU_024,0.3,321,671,2.09
SKU_024,0.4,321,822,2.56
SKU_024,0.5,321,931,2.9
SKU_025,0.1,201,269,1.34
SKU_025,0.2,201,368,1.83
SKU_025,0.3,201,446,2.22
SKU_025,0.4,201,494,2.46
SKU_025,0.5,201,613,3.05
SKU_026,0.1,336,480,1.43
SKU_026,0.2,336,601,1.79
SKU_026,0.3,336,689,2.05
SKU_026,0.4,336,837,2.49
SKU_026,0.5,336,1018,3.03
SKU_027,0.1,275,363,1.32
SKU_027,0.2,275,490,1.78
SKU_027,0.3,275,630,2.29
SKU_027,0.4,275,682,2.48
SKU_027,0.5,275,817,2.97
SKU_028,0.1,352,482,1.37
SKU_028,0.2,352,605,1.72
SKU_028,0.3,352,788,2.24
SKU_028,0.4,352,894,2.54
SKU_028,0.5,352,1074,3.05
SKU_029,0.1,389,576,1.48
SKU_029,0.2,389,661,1.7
SKU_029,0.3,389,844,2.17
SKU_029,0.4,389,1008,2.59
SKU_029,0.5,389,1171,3.01
SKU_030,0.1,401,581,1.45
SKU_030,0.2,401,666,1.66
SKU_030,0.3,401,870,2.17
SKU_030,0.4,401,994,2.48
SKU_030,0.5,401,1187,2.96
SKU_031,0.1,277,391,1.41
