sku_id,selling_week,units_available,units_sold,sell_through_rate,average_weekly_sales
SKU_001,W-12,1082,800,0.739,800.0
SKU_001,W-11,2796,1347,0.482,1347.0
SKU_001,W-10,2914,2084,0.715,2084.0
SKU_001,W-09,2038,892,0.438,892.0
SKU_001,W-08,1872,1255,0.67,1255.0
SKU_001,W-07,2953,1778,0.602,1778.0
SKU_001,W-06,2214,907,0.41,907.0
SKU_001,W-05,2048,938,0.458,938.0
SKU_001,W-04,1615,1147,0.71,1147.0
SKU_001,W-03,2976,1917,0.644,1917.0
SKU_001,W-02,2073,973,0.469,973.0
SKU_001,W-01,2991,1790,0.598,1790.0
SKU_002,W-12,1289,877,0.68,877.0
SKU_002,W-11,1939,1044,0.538,1044.0
SKU_002,W-10,1943,777,0.4,777.0
SKU_002,W-09,1302,612,0.47,612.0
SKU_002,W-08,1352,683,0.505,683.0
SKU_002,W-07,1164,540,0.464,540.0
SKU_002,W-06,2756,1298,0.471,1298.0
SKU_002,W-05,1184,773,0.653,773.0
SKU_002,W-04,1315,841,0.64,841.0
SKU_002,W-03,2731,1833,0.671,1833.0
SKU_002,W-02,1010,572,0.566,572.0
SKU_002,W-01,1705,741,0.435,741.0
SKU_003,W-12,1196,640,0.535,640.0
SKU_003,W-11,1651,1101,0.667,1101.0
SKU_003,W-10,1273,687,0.54,687.0
SKU_003,W-09,1669,1192,0.714,1192.0
SKU_003,W-08,2678,1703,0.636,1703.0
SKU_003,W-07,2787,1528,0.548,1528.0
SKU_003,W-06,1806,1060,0.587,1060.0
SKU_003,W-05,1710,976,0.571,976.0
SKU_003,W-04,2516,1860,0.739,1860.0
SKU_003,W-03,1055,503,0.477,503.0
SKU_003,W-02,2246,1038,0.462,1038.0
SKU_003,W-01,1481,783,0.529,783.0
SKU_004,W-12,1384,575,0.415,575.0
SKU_004,W-11,1618,893,0.552,893.0
SKU_004,W-10,1695,905,0.534,905.0
SKU_004,W-09,1368,751,0.549,751.0
SKU_004,W-08,1583,805,0.509,805.0
SKU_004,W-07,2382,1637,0.687,1637.0
SKU_004,W-06,1071,526,0.491,526.0
SKU_004,W-05,2955,1618,0.548,1618.0
SKU_004,W-04,1334,719,0.539,719.0
SKU_004,W-03,2059,1424,0.692,1424.0
SKU_004,W-02,1952,1331,0.682,1331.0
SKU_004,W-01,1709,1093,0.64,1093.0
SKU_005,W-12,1786,1143,0.64,1143.0
SKU_005,W-11,1023,583,0.57,583.0
SKU_005,W-10,2965,1881,0.634,1881.0
SKU_005,W-09,1865,1249,0.67,1249.0
SKU_005,W-08,1620,888,0.548,888.0
SKU_005,W-07,2519,1566,0.622,1566.0
SKU_005,W-06,2236,1526,0.682,1526.0
SKU_005,W-05,2860,1594,0.557,1594.0
SKU_005,W-04,1763,1187,0.673,1187.0
SKU_005,W-03,2458,1271,0.517,1271.0
SKU_005,W-02,2095,1550,0.74,1550.0
SKU_005,W-01,1228,828,0.674,828.0
SKU_006,W-12,2449,1485,0.606,1485.0
SKU_006,W-11,1404,814,0.58,814.0
SKU_006,W-10,2258,1478,0.655,1478.0
SKU_006,W-09,1931,1066,0.552,1066.0
SKU_006,W-08,1951,972,0.498,972.0
SKU_006,W-07,1248,878,0.704,878.0
SKU_006,W-06,1942,1026,0.528,1026.0
SKU_006,W-05,2821,1720,0.61,1720.0
SKU_006,W-04,1756,857,0.488,857.0
SKU_006,W-03,1691,1075,0.636,1075.0
SKU_006,W-02,2570,1764,0.686,1764.0
SKU_006,W-01,2111,1041,0.493,1041.0
SKU_007,W-12,1074,629,0.586,629.0
SKU_007,W-11,1811,881,0.486,881.0
SKU_007,W-10,1172,688,0.587,688.0
SKU_007,W-09,1258,823,0.654,823.0
SKU_007,W-08,2296,1314,0.572,1314.0
SKU_007,W-07,2828,1403,0.496,1403.0
SKU_007,W-06,2990,1675,0.56,1675.0
SKU_007,W-05,2264,1099,0.485,1099.0
SKU_007,W-04,2690,1926,0.716,1926.0
SKU_007,W-03,2909,1909,0.656,1909.0
SKU_007,W-02,2072,1241,0.599,1241.0
SKU_007,W-01,1083,462,0.427,462.0
SKU_008,W-12,1045,485,0.464,485.0
SKU_008,W-11,2529,1238,0.49,1238.0
SKU_008,W-10,2337,1542,0.66,1542.0
SKU_008,W-09,1162,805,0.693,805.0
SKU_008,W-08,1887,1392,0.738,1392.0
SKU_008,W-07,2625,1226,0.467,1226.0
SKU_008,W-06,1534,1147,0.748,1147.0
SKU_008,W-05,2260,1310,0.58,1310.0
SKU_008,W-04,2749,1863,0.678,1863.0
SKU_008,W-03,2421,1645,0.679,1645.0
SKU_008,W-02,1766,1060,0.6,1060.0
SKU_008,W-01,1440,959,0.666,959.0
SKU_009,W-12,1558,625,0.401,625.0
SKU_009,W-11,1424,578,0.406,578.0
SKU_009,W-10,1848,1164,0.63,1164.0
SKU_009,W-09,1562,770,0.493,770.0
SKU_009,W-08,2226,1506,0.677,1506.0
SKU_009,W-07,2300,1176,0.511,1176.0
SKU_009,W-06,1453,695,0.478,695.0
SKU_009,W-05,2452,1259,0.513,1259.0
SKU_009,W-04,1130,693,0.613,693.0
SKU_009,W-03,2491,1617,0.649,1617.0
SKU_009,W-02,2693,1511,0.561,1511.0
SKU_009,W-01,1861,1157,0.622,1157.0
SKU_010,W-12,1910,865,0.453,865.0
SKU_010,W-11,2749,1814,0.66,1814.0
SKU_010,W-10,1431,838,0.586,838.0
SKU_010,W-09,1348,856,0.635,856.0
SKU_010,W-08,1523,823,0.54,823.0
SKU_010,W-07,2353,1643,0.698,1643.0
SKU_010,W-06,2981,1274,0.427,1274.0
SKU_010,W-05,1996,1190,0.596,1190.0
SKU_010,W-04,1707,732,0.429,732.0
SKU_010,W-03,2531,1884,0.744,1884.0
SKU_010,W-02,1756,889,0.506,889.0
SKU_010,W-01,2537,1294,0.51,1294.0
SKU_011,W-12,1047,694,0.663,694.0
SKU_011,W-11,1581,940,0.595,940.0
SKU_011,W-10,2005,1496,0.746,1496.0
SKU_011,W-09,1768,1277,0.722,1277.0
SKU_011,W-08,1269,675,0.532,675.0
SKU_011,W-07,2943,2052,0.697,2052.0
SKU_011,W-06,1198,645,0.538,645.0
SKU_011,W-05,1432,1070,0.747,1070.0
SKU_011,W-04,2168,1086,0.501,1086.0
SKU_011,W-03,2771,1262,0.455,1262.0
SKU_011,W-02,2592,1929,0.744,1929.0
SKU_011,W-01,1821,1078,0.592,1078.0
SKU_012,W-12,2360,1674,0.709,1674.0
SKU_012,W-11,2966,1843,0.621,1843.0
SKU_012,W-10,2302,1176,0.511,1176.0
SKU_012,W-09,2096,1229,0.586,1229.0
SKU_012,W-08,1461,1023,0.7,1023.0
SKU_012,W-07,2013,1338,0.665,1338.0
SKU_012,W-06,1586,1092,0.689,1092.0
SKU_012,W-05,1920,873,0.455,873.0
